Shot number,"Striking velocity Vs (m/s)","Penetration (mm)","Mass (g)","Hardness Rc","Target length (m)",P/L
1-0426,794,103,20.908,52.9,0.154,1.73693086
1-0424,1076,160,20.89,53.1,0.23,2.698145025
1-0425,1255,229,20.906,53.1,0.277,3.861720067
4-1840,1348,254,20.914,53.2,0.349,4.283305228
4-1841,1538,332,20.889,53.8,0.406,5.598650927
4-1842,1654,389,20.873,53.4,0.406,6.559865093
4-1843,1786,452,20.912,53,0.47,7.622259696
8-0117,1816,398,20.788,53.5,0.559,6.71163575
4-1844,1817,462,20.916,53.3,0.559,7.790893761
8-0118,1916,281,20.88,53,0.559,4.738617201
8-0123,2042,285,20.959,53.3,0.254,4.806070826
8-0121,2438,168,20.872,53,0.305,2.833052277
8-0120,2493,168,20.868,53.5,0.305,2.833052277
8-0119,2963,172,20.912,53.1,0.305,2.900505902
